DATE_m,TAVG,temp_celsius,Month,ref_temp,Diff
201004,40.300,4.611,04,3.424,1.187
201005,53.419,11.900,05,10.180,1.720
201006,58.800,14.889,06,14.668,0.221
201007,72.194,22.330,07,17.281,5.049
201008,63.806,17.670,08,15.604,2.067
201009,52.700,11.500,09,10.596,0.904
201010,41.097,5.054,10,5.488,-0.434
201011,28.933,-1.704,11,0.646,-2.349
201012,16.032,-8.871,12,-3.211,-5.660
201101,22.194,-5.448,01,-5.351,-0.097
201102,10.500,-11.944,02,-5.941,-6.003
201103,29.129,-1.595,03,-2.440,0.845
201104,42.733,5.963,04,3.424,2.539
201105,51.323,10.735,05,10.180,0.555
201106,63.267,17.370,06,14.668,2.703
201107,69.419,20.789,07,17.281,3.508
201108,62.290,16.828,08,15.604,1.224
201109,55.533,13.074,09,10.596,2.478
201110,45.806,7.670,10,5.488,2.182
201111,39.867,4.370,11,0.646,3.725
201112,35.935,2.186,12,-3.211,5.398
201201,23.000,-5.000,01,-5.351,0.351
201202,17.310,-8.161,02,-5.941,-2.220
201203,31.742,-0.143,03,-2.440,2.297
201204,39.033,3.907,04,3.424,0.484
201205,52.000,11.111,05,10.180,0.931
201206,56.500,13.611,06,14.668,-1.057
201207,64.226,17.903,07,17.281,0.623
201208,59.516,15.287,08,15.604,-0.317
201209,53.167,11.759,09,10.596,1.163
201210,42.548,5.860,10,5.488,0.372
201211,37.833,3.241,11,0.646,2.595
201212,20.065,-6.631,12,-3.211,-3.419
201301,21.452,-5.860,01,-5.351,-0.509
201302,27.286,-2.619,02,-5.941,3.322
201303,19.839,-6.756,03,-2.440,-4.316
201304,36.967,2.759,04,3.424,-0.665
201305,55.935,13.297,05,10.180,3.118
201306,64.067,17.815,06,14.668,3.147
201307,64.452,18.029,07,17.281,0.748
201308,62.645,17.025,08,15.604,1.421
201309,52.867,11.593,09,10.596,0.996
201310,43.839,6.577,10,5.488,1.089
201311,38.400,3.556,11,0.646,2.910
201312,34.452,1.362,12,-3.211,4.573
201401,18.484,-7.509,01,-5.351,-2.158
201402,31.321,-0.377,02,-5.941,5.564
201403,34.742,1.523,03,-2.440,3.964
201404,42.100,5.611,04,3.424,2.187
201405,51.484,10.824,05,10.180,0.644
201406,56.400,13.556,06,14.668,-1.112
201407,67.968,19.982,07,17.281,2.702
201408,63.129,17.294,08,15.604,1.690
201409,53.400,11.889,09,10.596,1.293
201410,42.323,5.735,10,5.488,0.247
201411,36.167,2.315,11,0.646,1.669
201412,29.935,-1.147,12,-3.211,2.064
201501,28.742,-1.810,01,-5.351,3.541
201502,32.214,0.119,02,-5.941,6.060
201503,35.000,1.667,03,-2.440,4.107
201504,41.300,5.167,04,3.424,1.743
201505,49.258,9.588,05,10.180,-0.592
201506,56.367,13.537,06,14.668,-1.131
201507,60.935,16.075,07,17.281,-1.205
201508,62.065,16.703,08,15.604,1.099
201509,54.567,12.537,09,10.596,1.941
201510,41.323,5.179,10,5.488,-0.309
201511,40.267,4.593,11,0.646,3.947
201512,35.968,2.204,12,-3.211,5.416
201601,13.581,-10.233,01,-5.351,-4.882
201602,31.207,-0.441,02,-5.941,5.501
201603,32.129,0.072,03,-2.440,2.512
201604,40.367,4.648,04,3.424,1.224
201605,56.935,13.853,05,10.180,3.673
201606,59.667,15.370,06,14.668,0.703
201607,63.355,17.419,07,17.281,0.139
201608,60.613,15.896,08,15.604,0.292
201609,54.400,12.444,09,10.596,1.848
201610,40.097,4.498,10,5.488,-0.990
201611,31.034,-0.536,11,0.646,-1.182
201612,30.581,-0.789,12,-3.211,2.423
201701,26.800,-2.889,01,-5.351,2.462
201702,26.250,-3.194,02,-5.941,2.747
201703,33.258,0.699,03,-2.440,3.139
201704,36.033,2.241,04,3.424,-1.183
201705,49.032,9.462,05,10.180,-0.718
201706,56.300,13.500,06,14.668,-1.168
201707,60.290,15.717,07,17.281,-1.564
201708,60.290,15.717,08,15.604,0.113
201709,52.333,11.296,09,10.596,0.700
201710,48.250,9.028,10,5.488,3.540
